text,category
"Please help, Health card not accepted. please guide",Healthcare Access
Bhai Nala block hai complaint karni hai. help me,Municipal Issue
Madam मुझे मुफ्त कानूनी सहायता चाहिए। what should I do?,Legal Aid
Madam Clinic overcharged me for treatment. what should I do?,Healthcare Access
Madam Tell me a joke. please guide,Unknown
"Urgent, Ration card not approved. help me",Government Scheme
Bhai Doctor refused to treat patient.,Healthcare Access
Madam Write a poem about rain. kaise solve hoga?,Unknown
Bhai Boss ne payment rok diya hai. please guide,Labour Dispute
"Please help, Legal services authority contact kaise kare? what should I do?",Legal Aid
Sir Fake product mila online order mein. complaint kaha karu?,Consumer Complaint
Madam Fraud hua hai police complaint karni hai. complaint kaha karu?,Police Complaint
Madam Shopkeeper is refusing to replace defective product.,Consumer Complaint
Bhai Seller sent wrong product and is ignoring me.,Consumer Complaint
Madam Hospital denied treatment. complaint kaha karu?,Healthcare Access
Sir Tenant ko ghar se nikal rahe hain. complaint kaha karu?,Property Issue
I need court help but cannot pay lawyer fees. help me,Legal Aid
Sir Shopkeeper is refusing to replace defective product. help me,Consumer Complaint
Sir मेरा मोबाइल चोरी हो गया है। help me,Police Complaint
"Please help, How can I get FIR copy? complaint kaha karu?",Police Complaint
"Please help, I am facing domestic violence at home. kaise solve hoga?",Domestic Violence / Safety
Madam Someone is blackmailing me online. kaise solve hoga?,Police Complaint
Bhai I feel unsafe at home. help me,Domestic Violence / Safety
Bhai मुझे three months से वेतन नहीं मिला है। kaise solve hoga?,Labour Dispute
"Urgent, I want to file a police complaint. please guide",Police Complaint
My in-laws are abusing me for dowry. complaint kaha karu?,Domestic Violence / Safety
Sir Aadhaar update problem. complaint kaha karu?,Government Scheme
Sir What is the weather today?,Unknown
Bhai Partner ne mujhe beat kiya hai. kaise solve hoga?,Domestic Violence / Safety
Bhai मेरा सामान खराब आया है और कंपनी बदल नहीं रही।,Consumer Complaint
Madam I want to learn Python. please guide,Unknown
I worked but did not receive payment. help me,Labour Dispute
Bhai Someone is blackmailing me online. please guide,Police Complaint
Sir DLSA se help kaise milegi? kaise solve hoga?,Legal Aid
"Please help, Clinic overcharged me for treatment. complaint kaha karu?",Healthcare Access
Municipal complaint kaha kare? please guide,Municipal Issue
"Urgent, Delivery not received but money got deducted. kaise solve hoga?",Consumer Complaint
Sir Ambulance nahi mil rahi hai. what should I do?,Healthcare Access
"Please help, Can poor people get free legal support? complaint kaha karu?",Legal Aid
Bhai Can poor people get free legal support?,Legal Aid
"Urgent, Tell me a joke. help me",Unknown
Sir My employer has not paid my salary for one month. what should I do?,Labour Dispute
मुझे मुफ्त कानूनी सहायता चाहिए।,Legal Aid
Sir Drainage problem in my street.,Municipal Issue
Madam Landlord not returning security deposit. complaint kaha karu?,Property Issue
Madam Drainage problem in my street. complaint kaha karu?,Municipal Issue
My service request is pending for long time. complaint kaha karu?,Public Grievance
"Please help, Public toilet is very dirty. complaint kaha karu?",Municipal Issue
Madam Government benefit has not been received. complaint kaha karu?,Government Scheme
Sir I bought shoes online and seller is not giving refund. what should I do?,Consumer Complaint
Sir Domicile certificate reject ho gaya. what should I do?,Government Scheme
Sir How to cook pasta? what should I do?,Unknown
Tell me a joke. please guide,Unknown
"Please help, सरकारी योजना का लाभ नहीं मिला। help me",Government Scheme
"Urgent, Who won the cricket match? complaint kaha karu?",Unknown
"Please help, Caste certificate pending for months. please guide",Government Scheme
Sir My landlord is forcing me to leave. complaint kaha karu?,Property Issue
"Please help, Application number hai but no update. please guide",Public Grievance
"Please help, I want to learn Python. please guide",Unknown
"Please help, Water supply is dirty in my area. kaise solve hoga?",Municipal Issue
Suggest a good phone under 20000.,Unknown
"Please help, Boss ne payment rok diya hai. kaise solve hoga?",Labour Dispute
Mera phone chori ho gaya hai. please guide,Police Complaint
Sir I am facing domestic violence at home. help me,Domestic Violence / Safety
Madam Mosquito problem due to sewage. help me,Municipal Issue
Subsidy not received. kaise solve hoga?,Government Scheme
Sir Where can I get free legal aid? help me,Legal Aid
"Please help, Mosquito problem due to sewage.",Municipal Issue
"Urgent, Lease dispute with house owner. please guide",Property Issue
Shopkeeper is refusing to replace defective product. complaint kaha karu?,Consumer Complaint
"Urgent, Fraud hua hai police complaint karni hai. what should I do?",Police Complaint
I feel unsafe at home. help me,Domestic Violence / Safety
"Urgent, मकान मालिक जबरदस्ती निकाल रहा है। complaint kaha karu?",Property Issue
Bhai My company fired me without paying dues.,Labour Dispute
"Urgent, Where can I get free legal aid? please guide",Legal Aid
Sir Landlord not returning security deposit. complaint kaha karu?,Property Issue
"Please help, गली में कचरा पड़ा है। please guide",Municipal Issue
Bhai मेरे पति मुझे धमकी दे रहे हैं। complaint kaha karu?,Domestic Violence / Safety
Sir What is the weather today? what should I do?,Unknown
Who won the cricket match? what should I do?,Unknown
"Urgent, Health card not accepted. complaint kaha karu?",Healthcare Access
Sir Illegal occupation of my land. what should I do?,Property Issue
"Urgent, Ambulance nahi mil rahi hai.",Healthcare Access
Bhai मुझे अस्पताल में भर्ती नहीं कर रहे। kaise solve hoga?,Healthcare Access
Madam I need court help but cannot pay lawyer fees. kaise solve hoga?,Legal Aid
"Please help, There is violence in my house and I need help. kaise solve hoga?",Domestic Violence / Safety
"Urgent, I need advocate help but have no money. kaise solve hoga?",Legal Aid
Madam My employer has not paid my salary for many weeks.,Labour Dispute
"Please help, I am afraid to go back home. please guide",Domestic Violence / Safety
NALSA legal aid ke liye apply kaise kare? kaise solve hoga?,Legal Aid
Warranty claim rejected without proper reason. what should I do?,Consumer Complaint
Madam Someone is stalking me daily.,Domestic Violence / Safety
"Urgent, Public service delivery problem. please guide",Public Grievance
Madam Someone is stalking me daily. what should I do?,Domestic Violence / Safety
Sir Can poor people get free legal support? kaise solve hoga?,Legal Aid
"Please help, Someone threatened me and I want police help. what should I do?",Police Complaint
"Please help, Who won the cricket match? help me",Unknown
Madam Aadhaar update problem. complaint kaha karu?,Government Scheme
Madam Someone threatened me and I want police help. complaint kaha karu?,Police Complaint
Sir There is garbage near my house. complaint kaha karu?,Municipal Issue
Madam What is the weather today? help me,Unknown
Sir Someone is stalking me daily.,Domestic Violence / Safety
Sir Shopkeeper is refusing to replace defective product. complaint kaha karu?,Consumer Complaint
Sir Clinic overcharged me for treatment. help me,Healthcare Access
Bhai Illegal occupation of my land.,Property Issue
Bhai Legal services authority contact kaise kare? help me,Legal Aid
Madam Medicine not available in government hospital. help me,Healthcare Access
"Urgent, मुझे three months से वेतन नहीं मिला है। kaise solve hoga?",Labour Dispute
Madam CPGRAMS complaint kaise kare? help me,Public Grievance
Madam Officer is not taking action on complaint. kaise solve hoga?,Public Grievance
Bhai Someone is blackmailing me online. please guide,Police Complaint
"Urgent, Government hospital refused admission. what should I do?",Healthcare Access
Sir NALSA legal aid ke liye apply kaise kare?,Legal Aid
Explain machine learning. help me,Unknown
Sir My bike was stolen yesterday.,Police Complaint
Bhai Public service delivery problem. complaint kaha karu?,Public Grievance
"Please help, My company fired me without paying dues. what should I do?",Labour Dispute
Madam Product defective hai aur replacement nahi mil raha. what should I do?,Consumer Complaint
I want to learn Python. please guide,Unknown
"Urgent, मकान मालिक जबरदस्ती निकाल रहा है। kaise solve hoga?",Property Issue
Bhai Aadhaar update problem. kaise solve hoga?,Government Scheme
"Urgent, Caste certificate pending for months.",Government Scheme
Bhai I am afraid to go back home. kaise solve hoga?,Domestic Violence / Safety
Madam Explain machine learning. complaint kaha karu?,Unknown
Warranty claim rejected without proper reason.,Consumer Complaint
Sir I need court help but cannot pay lawyer fees. what should I do?,Legal Aid
"Please help, Mujhe free lawyer chahiye.",Legal Aid
Bhai Ration card not approved. complaint kaha karu?,Government Scheme
Madam How to cook pasta?,Unknown
Madam I am facing domestic violence at home. please guide,Domestic Violence / Safety
"Please help, Drainage problem in my street. complaint kaha karu?",Municipal Issue
Sir CPGRAMS complaint kaise kare?,Public Grievance
Bhai Domicile certificate reject ho gaya. what should I do?,Government Scheme
"Urgent, I am afraid to go back home. complaint kaha karu?",Domestic Violence / Safety
"Urgent, Fraud hua hai police complaint karni hai. what should I do?",Police Complaint
"Please help, Mera phone chori ho gaya hai. kaise solve hoga?",Police Complaint
I cannot afford a lawyer. complaint kaha karu?,Legal Aid
Boss ne payment rok diya hai. complaint kaha karu?,Labour Dispute
"Urgent, My pension application is pending. please guide",Government Scheme
"Urgent, Someone is stalking me daily.",Domestic Violence / Safety
"Please help, Legal services authority contact kaise kare? help me",Legal Aid
Bhai Nala block hai complaint karni hai. kaise solve hoga?,Municipal Issue
Madam Health card not accepted. complaint kaha karu?,Healthcare Access
"Urgent, Explain machine learning. kaise solve hoga?",Unknown
Bhai I need advocate help but have no money. help me,Legal Aid
"Urgent, Ambulance nahi mil rahi hai.",Healthcare Access
"Please help, Write a poem about rain.",Unknown
Sir Mosquito problem due to sewage. help me,Municipal Issue
Sir Subsidy not received. kaise solve hoga?,Government Scheme
"Urgent, Drainage problem in my street. please guide",Municipal Issue
"Please help, मेरे पति मुझे धमकी दे रहे हैं। complaint kaha karu?",Domestic Violence / Safety
Bhai Officer is not taking action on complaint. please guide,Public Grievance
Sir Factory owner is not giving wages. please guide,Labour Dispute
Madam Rent agreement issue.,Property Issue
"Please help, DLSA se help kaise milegi?",Legal Aid
Madam What is the weather today? please guide,Unknown
Bhai I bought laptop online and seller is not giving refund.,Consumer Complaint
"Please help, मुझे अस्पताल में भर्ती नहीं कर रहे।",Healthcare Access
"Please help, What is the weather today? please guide",Unknown
