text,category
Sir Pati mujhe maar raha hai.,Domestic Violence / Safety
Madam मुझे मुफ्त कानूनी सहायता चाहिए। help me,Legal Aid
Madam I want to learn Python. please guide,Unknown
Domicile certificate reject ho gaya.,Government Scheme
Madam My pension application is pending.,Government Scheme
Madam गली में कचरा पड़ा है। please guide,Municipal Issue
Madam Someone is stalking me daily.,Domestic Violence / Safety
"Urgent, Builder has not given flat possession. help me",Property Issue
मुझे one month से वेतन नहीं मिला है। kaise solve hoga?,Labour Dispute
Sir Legal services authority contact kaise kare?,Legal Aid
Ration card not approved. kaise solve hoga?,Government Scheme
"Urgent, मेरा मोबाइल चोरी हो गया है।",Police Complaint
My company fired me without paying dues.,Labour Dispute
"Please help, Government hospital refused admission. what should I do?",Healthcare Access
Bhai Clinic overcharged me for treatment.,Healthcare Access
Madam Play some music.,Unknown
Sir How to cook pasta? what should I do?,Unknown
Sir Public toilet is very dirty.,Municipal Issue
"Urgent, Lease dispute with house owner. please guide",Property Issue
"Urgent, Government hospital refused admission. what should I do?",Healthcare Access
Sir I feel unsafe at home. complaint kaha karu?,Domestic Violence / Safety
Sir Application number hai but no update.,Public Grievance
My employer has not paid my salary for 90 days.,Labour Dispute
There is violence in my house and I need help. kaise solve hoga?,Domestic Violence / Safety
Bhai Health card not accepted. please guide,Healthcare Access
Madam Write a poem about rain. kaise solve hoga?,Unknown
Madam Scholarship nahi mili. help me,Government Scheme
"Urgent, Who won the cricket match? help me",Unknown
Madam Landlord not returning security deposit. complaint kaha karu?,Property Issue
"Please help, I worked but did not receive payment. what should I do?",Labour Dispute
"Please help, Illegal occupation of my land. kaise solve hoga?",Property Issue
"Please help, CPGRAMS complaint kaise kare? what should I do?",Public Grievance
Madam Warranty claim rejected without proper reason. what should I do?,Consumer Complaint
Sir Lease dispute with house owner. please guide,Property Issue
NALSA legal aid ke liye apply kaise kare? help me,Legal Aid
"Urgent, My employer has not paid my salary for one month. kaise solve hoga?",Labour Dispute
Sir Write a poem about rain. complaint kaha karu?,Unknown
"Urgent, Application number hai but no update. complaint kaha karu?",Public Grievance
Someone is blackmailing me online. help me,Police Complaint
Bhai Clinic overcharged me for treatment. kaise solve hoga?,Healthcare Access
Sir Company salary nahi de rahi hai for many weeks. kaise solve hoga?,Labour Dispute
"Urgent, Scholarship nahi mili. help me",Government Scheme
मुझे अस्पताल में भर्ती नहीं कर रहे। kaise solve hoga?,Healthcare Access
Ambulance nahi mil rahi hai. please guide,Healthcare Access
Suggest a good phone under 20000.,Unknown
Sir NALSA legal aid ke liye apply kaise kare?,Legal Aid
Madam What is the capital of Japan? complaint kaha karu?,Unknown
"Please help, Someone threatened me and I want police help. complaint kaha karu?",Police Complaint
Sir Police station complaint kaise kare? kaise solve hoga?,Police Complaint
Streetlight is not working. what should I do?,Municipal Issue
Public authority is not responding. kaise solve hoga?,Public Grievance
Sir Government office me complaint kaha kare? kaise solve hoga?,Public Grievance
Sir How can I get FIR copy? complaint kaha karu?,Police Complaint
Madam Road has big potholes. help me,Municipal Issue
Sir Subsidy not received. kaise solve hoga?,Government Scheme
Government office me complaint kaha kare? complaint kaha karu?,Public Grievance
Bhai Hospital denied treatment. help me,Healthcare Access
"Urgent, Someone is blackmailing me online. kaise solve hoga?",Police Complaint
Madam I cannot afford a lawyer. please guide,Legal Aid
Sir Overtime ka paisa nahi mila. kaise solve hoga?,Labour Dispute
Patient ko emergency ward me nahi liya. please guide,Healthcare Access
"Urgent, Income certificate application delayed. what should I do?",Government Scheme
Madam There is violence in my house and I need help.,Domestic Violence / Safety
"Urgent, Mujhe free lawyer chahiye. help me",Legal Aid
"Urgent, मेरा मोबाइल चोरी हो गया है। help me",Police Complaint
"Please help, Fraud hua hai police complaint karni hai. please guide",Police Complaint
Bhai There is violence in my house and I need help. kaise solve hoga?,Domestic Violence / Safety
"Urgent, मुझे अस्पताल में भर्ती नहीं कर रहे। complaint kaha karu?",Healthcare Access
Madam Subsidy not received.,Government Scheme
Sir My pension application is pending. kaise solve hoga?,Government Scheme
Sir Product defective hai aur replacement nahi mil raha. help me,Consumer Complaint
"Urgent, Land dispute with neighbour. kaise solve hoga?",Property Issue
Bhai सरकारी योजना का लाभ नहीं मिला। complaint kaha karu?,Government Scheme
"Please help, Land dispute with neighbour. kaise solve hoga?",Property Issue
"Urgent, Mujhe free lawyer chahiye. kaise solve hoga?",Legal Aid
Madam Government benefit has not been received. kaise solve hoga?,Government Scheme
Police station complaint kaise kare? complaint kaha karu?,Police Complaint
Madam Doctor refused to treat patient. complaint kaha karu?,Healthcare Access
Madam सरकारी विभाग जवाब नहीं दे रहा। what should I do?,Public Grievance
"Please help, Public authority is not responding. please guide",Public Grievance
Bhai Order cancel hua but refund nahi aaya. what should I do?,Consumer Complaint
सरकारी विभाग जवाब नहीं दे रहा।,Public Grievance
"Urgent, Government department is delaying my application.",Public Grievance
"Urgent, Clinic overcharged me for treatment. complaint kaha karu?",Healthcare Access
Madam Someone threatened me and I want police help. complaint kaha karu?,Police Complaint
Madam सरकारी योजना का लाभ नहीं मिला। please guide,Government Scheme
"Urgent, I am afraid to go back home. complaint kaha karu?",Domestic Violence / Safety
Bhai Aadhaar update problem. kaise solve hoga?,Government Scheme
"Urgent, PF amount company ne nahi diya.",Labour Dispute
Sir Partner ne mujhe beat kiya hai. complaint kaha karu?,Domestic Violence / Safety
"Please help, Boss ne payment rok diya hai. kaise solve hoga?",Labour Dispute
Madam मुझे मुफ्त कानूनी सहायता चाहिए। kaise solve hoga?,Legal Aid
"Please help, Legal services authority contact kaise kare? what should I do?",Legal Aid
"Please help, Water supply is dirty in my area. kaise solve hoga?",Municipal Issue
Rent agreement issue. complaint kaha karu?,Property Issue
"Please help, Health card not accepted. what should I do?",Healthcare Access
"Please help, Clinic overcharged me for treatment. please guide",Healthcare Access
Sir Who won the cricket match? help me,Unknown
"Urgent, Lease dispute with house owner. kaise solve hoga?",Property Issue
My service request is pending for long time. what should I do?,Public Grievance
"Please help, Road has big potholes. kaise solve hoga?",Municipal Issue
I need court help but cannot pay lawyer fees. help me,Legal Aid
Madam My employer has not paid my salary for many weeks.,Labour Dispute
Bhai Mujhe free lawyer chahiye. what should I do?,Legal Aid
Sir Fake product mila online order mein. complaint kaha karu?,Consumer Complaint
Sir Ration card not approved. complaint kaha karu?,Government Scheme
Sir CPGRAMS complaint kaise kare? what should I do?,Public Grievance
Bhai मेरा सामान खराब आया है और कंपनी बदल नहीं रही। please guide,Consumer Complaint
Sir I want to report cyber crime. what should I do?,Police Complaint
"Please help, Order cancel hua but refund nahi aaya. kaise solve hoga?",Consumer Complaint
"Please help, मुझे two months से वेतन नहीं मिला है।",Labour Dispute
"Please help, I am afraid to go back home.",Domestic Violence / Safety
Sir Municipal complaint kaha kare?,Municipal Issue
Bhai Officer is not taking action on complaint. please guide,Public Grievance
Sir Government benefit has not been received. complaint kaha karu?,Government Scheme
"Please help, Land dispute with neighbour. what should I do?",Property Issue
"Please help, My company fired me without paying dues. what should I do?",Labour Dispute
"Urgent, DLSA se help kaise milegi? complaint kaha karu?",Legal Aid
"Urgent, What is the capital of Japan? kaise solve hoga?",Unknown
"Please help, Medicine not available in government hospital. kaise solve hoga?",Healthcare Access
Sir CPGRAMS complaint kaise kare?,Public Grievance
"Please help, Drainage problem in my street. complaint kaha karu?",Municipal Issue
Sir मुझे मुफ्त कानूनी सहायता चाहिए। complaint kaha karu?,Legal Aid
"Urgent, मुझे three months से वेतन नहीं मिला है। kaise solve hoga?",Labour Dispute
Bhai Police station complaint kaise kare? kaise solve hoga?,Police Complaint
Sir Government benefit has not been received. what should I do?,Government Scheme
"Urgent, DLSA se help kaise milegi? complaint kaha karu?",Legal Aid
Bhai मेरा सामान खराब आया है और कंपनी बदल नहीं रही। kaise solve hoga?,Consumer Complaint
Bhai I worked but did not receive payment. help me,Labour Dispute
Bhai Delivery not received but money got deducted. complaint kaha karu?,Consumer Complaint
"Please help, I need advocate help but have no money. please guide",Legal Aid
Sir Ambulance nahi mil rahi hai. please guide,Healthcare Access
"Please help, DLSA se help kaise milegi?",Legal Aid
Bhai My in-laws are abusing me for dowry. what should I do?,Domestic Violence / Safety
Sir My employer has not paid my salary for one month. what should I do?,Labour Dispute
"Please help, Play some music.",Unknown
Bhai Explain machine learning. complaint kaha karu?,Unknown
"Urgent, My husband is threatening me and I am scared. what should I do?",Domestic Violence / Safety
Madam Tenant ko ghar se nikal rahe hain. help me,Property Issue
Madam Product defective hai aur replacement nahi mil raha. kaise solve hoga?,Consumer Complaint
My employer has not paid my salary for many weeks. please guide,Labour Dispute
Sir I am facing domestic violence at home. complaint kaha karu?,Domestic Violence / Safety
"Urgent, मुझे अस्पताल में भर्ती नहीं कर रहे। help me",Healthcare Access
"Please help, Fraud hua hai police complaint karni hai. complaint kaha karu?",Police Complaint
Bhai There is garbage near my house. kaise solve hoga?,Municipal Issue
Bhai Lease dispute with house owner. please guide,Property Issue
"Urgent, Legal services authority contact kaise kare? what should I do?",Legal Aid
Bhai Ayushman card se treatment nahi mila. help me,Healthcare Access
Madam Employer is delaying my salary again. what should I do?,Labour Dispute
Public toilet is very dirty.,Municipal Issue
Sir Domicile certificate reject ho gaya. what should I do?,Government Scheme
"Please help, Government office me complaint kaha kare? complaint kaha karu?",Public Grievance
I feel unsafe at home. complaint kaha karu?,Domestic Violence / Safety
"Urgent, How can I get FIR copy? complaint kaha karu?",Police Complaint
"Please help, Caste certificate pending for months. kaise solve hoga?",Government Scheme
"Please help, सरकारी विभाग जवाब नहीं दे रहा। what should I do?",Public Grievance
"Please help, Explain machine learning. what should I do?",Unknown
Sir Lease dispute with house owner. complaint kaha karu?,Property Issue
What is the capital of Japan? help me,Unknown
Bhai Public toilet is very dirty. help me,Municipal Issue
"Urgent, Factory owner is not giving wages. what should I do?",Labour Dispute
"Urgent, Company salary nahi de rahi hai for 90 days. please guide",Labour Dispute
There is garbage near my house. complaint kaha karu?,Municipal Issue
Sir Company salary nahi de rahi hai for six months. complaint kaha karu?,Labour Dispute
"Urgent, Tenant ko ghar se nikal rahe hain. complaint kaha karu?",Property Issue
Sir I need advocate help but have no money. kaise solve hoga?,Legal Aid
What is the capital of Japan? complaint kaha karu?,Unknown
Bhai I want to report cyber crime.,Police Complaint
"Please help, Overtime ka paisa nahi mila. what should I do?",Labour Dispute
"Urgent, Subsidy not received. help me",Government Scheme
Bhai Scholarship nahi mili. help me,Government Scheme
"Please help, Application number hai but no update. please guide",Public Grievance
Bhai Police station complaint kaise kare? complaint kaha karu?,Police Complaint
Mosquito problem due to sewage. what should I do?,Municipal Issue
"Urgent, Aadhaar update problem. complaint kaha karu?",Government Scheme
Bhai गली में कचरा पड़ा है। help me,Municipal Issue
"Urgent, Factory owner is not giving wages.",Labour Dispute
Bhai Someone is blackmailing me online. please guide,Police Complaint
Municipal complaint kaha kare? please guide,Municipal Issue
"Urgent, How can I get FIR copy? help me",Police Complaint
Bhai Seller sent wrong product and is ignoring me.,Consumer Complaint
Madam How to cook pasta?,Unknown
"Urgent, I want to report cyber crime. please guide",Police Complaint
"Urgent, Fraud hua hai police complaint karni hai.",Police Complaint
"Please help, Mera phone chori ho gaya hai. kaise solve hoga?",Police Complaint
Sir Drainage problem in my street. complaint kaha karu?,Municipal Issue
"Urgent, Landlord not returning security deposit. kaise solve hoga?",Property Issue
"Urgent, Fraud hua hai police complaint karni hai. what should I do?",Police Complaint
Sir My landlord is forcing me to leave. complaint kaha karu?,Property Issue
Bhai Income certificate application delayed.,Government Scheme
Bhai Overtime ka paisa nahi mila. what should I do?,Labour Dispute
Bhai Fake product mila online order mein.,Consumer Complaint
Sir Tell me a joke. please guide,Unknown
"Urgent, My in-laws are abusing me for dowry.",Domestic Violence / Safety
"Please help, सरकारी योजना का लाभ नहीं मिला। help me",Government Scheme
"Please help, Company salary nahi de rahi hai for many weeks.",Labour Dispute
I need advocate help but have no money.,Legal Aid
"Please help, Illegal occupation of my land. what should I do?",Property Issue
Bhai Legal services authority contact kaise kare? help me,Legal Aid
"Please help, My husband is threatening me and I am scared. help me",Domestic Violence / Safety
"Please help, Tell me a joke. kaise solve hoga?",Unknown
"Urgent, सरकारी विभाग जवाब नहीं दे रहा। please guide",Public Grievance
Sir Road has big potholes. complaint kaha karu?,Municipal Issue
"Please help, Warranty claim rejected without proper reason.",Consumer Complaint
"Urgent, My landlord is forcing me to leave. help me",Property Issue
Sir My employer has not paid my salary for two months. kaise solve hoga?,Labour Dispute
Madam Fake product mila online order mein.,Consumer Complaint
"Please help, How can I get FIR copy? complaint kaha karu?",Police Complaint
Madam Nala block hai complaint karni hai. help me,Municipal Issue
Sir सरकारी योजना का लाभ नहीं मिला। complaint kaha karu?,Government Scheme
Sir Municipal complaint kaha kare? please guide,Municipal Issue
Bhai Someone is blackmailing me online. please guide,Police Complaint
Delivery not received but money got deducted. complaint kaha karu?,Consumer Complaint
"Please help, Employer is delaying my salary again. complaint kaha karu?",Labour Dispute
"Please help, NALSA legal aid ke liye apply kaise kare? help me",Legal Aid
Madam Mera phone chori ho gaya hai. please guide,Police Complaint
"Please help, Write a poem about rain.",Unknown
Income certificate application delayed. please guide,Government Scheme
Madam Overtime ka paisa nahi mila. complaint kaha karu?,Labour Dispute
Sir My company fired me without paying dues. kaise solve hoga?,Labour Dispute
Sir Order cancel hua but refund nahi aaya. complaint kaha karu?,Consumer Complaint
Sir Shopkeeper is refusing to replace defective product. what should I do?,Consumer Complaint
Madam I want to report cyber crime. what should I do?,Police Complaint
Bhai My landlord is forcing me to leave. help me,Property Issue
Bhai Government department is delaying my application. help me,Public Grievance
Madam सरकारी विभाग जवाब नहीं दे रहा। what should I do?,Public Grievance
"Urgent, Ration card not approved. help me",Government Scheme
"Please help, Illegal occupation of my land. complaint kaha karu?",Property Issue
Property registry problem. help me,Property Issue
Order cancel hua but refund nahi aaya.,Consumer Complaint
Sir Shopkeeper is refusing to replace defective product. complaint kaha karu?,Consumer Complaint
Madam Drainage problem in my street. complaint kaha karu?,Municipal Issue
"Urgent, I want to file a police complaint. please guide",Police Complaint
Bhai Medicine not available in government hospital. help me,Healthcare Access
Bhai Medicine not available in government hospital.,Healthcare Access
Madam Someone is blackmailing me online. help me,Police Complaint
Bhai My landlord is forcing me to leave. help me,Property Issue
Public authority is not responding. complaint kaha karu?,Public Grievance
Bhai Property registry problem.,Property Issue
NALSA legal aid ke liye apply kaise kare?,Legal Aid
Madam My pension application is pending. complaint kaha karu?,Government Scheme
"Please help, Pati mujhe maar raha hai. please guide",Domestic Violence / Safety
Madam Doctor refused to treat patient.,Healthcare Access
Who won the cricket match? what should I do?,Unknown
"Please help, Caste certificate pending for months. kaise solve hoga?",Government Scheme
Public authority is not responding. kaise solve hoga?,Public Grievance
Madam Patient ko emergency ward me nahi liya. help me,Healthcare Access
"Urgent, मेरा सामान खराब आया है और कंपनी बदल नहीं रही। help me",Consumer Complaint
Madam I want to file a police complaint. help me,Police Complaint
Employer is delaying my salary again. kaise solve hoga?,Labour Dispute
"Urgent, Company salary nahi de rahi hai for two months. complaint kaha karu?",Labour Dispute
Sir मुझे many weeks से वेतन नहीं मिला है। kaise solve hoga?,Labour Dispute
Sir Factory owner is not giving wages. complaint kaha karu?,Labour Dispute
Madam My husband is threatening me and I am scared. complaint kaha karu?,Domestic Violence / Safety
I am facing domestic violence at home. complaint kaha karu?,Domestic Violence / Safety
Madam Government benefit has not been received. kaise solve hoga?,Government Scheme
Sir Government benefit has not been received.,Government Scheme
"Urgent, Drainage problem in my street. please guide",Municipal Issue
"Urgent, Delivery not received but money got deducted.",Consumer Complaint
Bhai Nala block hai complaint karni hai. kaise solve hoga?,Municipal Issue
Sir Government department is delaying my application. help me,Public Grievance
"Please help, गली में कचरा पड़ा है। help me",Municipal Issue
"Please help, My husband is threatening me and I am scared. what should I do?",Domestic Violence / Safety
Madam Government hospital refused admission. what should I do?,Healthcare Access
"Urgent, Road has big potholes. complaint kaha karu?",Municipal Issue
"Urgent, Partner ne mujhe beat kiya hai. help me",Domestic Violence / Safety
"Please help, Drainage problem in my street. help me",Municipal Issue
"Please help, Nala block hai complaint karni hai. kaise solve hoga?",Municipal Issue
Mujhe free lawyer chahiye. complaint kaha karu?,Legal Aid
Madam Warranty claim rejected without proper reason. what should I do?,Consumer Complaint
Bhai Legal services authority contact kaise kare? help me,Legal Aid
Madam Someone is stalking me daily. what should I do?,Domestic Violence / Safety
Madam NALSA legal aid ke liye apply kaise kare? please guide,Legal Aid
"Urgent, Government hospital refused admission. what should I do?",Healthcare Access
"Please help, What is the weather today? please guide",Unknown
Sir मुझे three months से वेतन नहीं मिला है। kaise solve hoga?,Labour Dispute
